Count,Yr,Sex,Platoon,A1,A2,L_a_A1,L_a_A2,K,A_a_L0,Linf,CVmin,CVmax,natM_amin,natM_max,M_age0,M_nages,WtLen1,WtLen2,Mat1,Mat2,Fec1,Fec2
1,26,1,1,0,999,3,117.9,0.16,-0.161091,117.9,0.1,0.1,0,0,0.36,0.36,5.58E-06,3.18851,4.8832,-0.9654,1,0
2,27,1,1,0,999,3,117.9,0.16,-0.161091,117.9,0.1,0.1,0,0,0.36,0.36,5.40E-06,3.18851,4.8832,-0.9654,1,0
3,28,1,1,0,999,3,117.9,0.16,-0.161091,117.9,0.1,0.1,0,0,0.36,0.36,5.43E-06,3.18851,4.8832,-0.9654,1,0
4,29,1,1,0,999,3,117.9,0.16,-0.161091,117.9,0.1,0.1,0,0,0.36,0.36,5.43E-06,3.18851,4.8832,-0.9654,1,0
5,30,1,1,0,999,3,117.9,0.16,-0.161091,117.9,0.1,0.1,0,0,0.36,0.36,5.58E-06,3.18851,4.8832,-0.9654,1,0
6,31,1,1,0,999,3,117.9,0.16,-0.161091,117.9,0.1,0.1,0,0,0.36,0.36,5.38E-06,3.18851,4.8832,-0.9654,1,0
7,32,1,1,0,999,3,117.9,0.16,-0.161091,117.9,0.1,0.1,0,0,0.36,0.36,5.62E-06,3.18851,4.8832,-0.9654,1,0
8,33,1,1,0,999,3,117.9,0.16,-0.161091,117.9,0.1,0.1,0,0,0.36,0.36,5.66E-06,3.18851,4.8832,-0.9654,1,0
9,34,1,1,0,999,3,117.9,0.16,-0.161091,117.9,0.1,0.1,0,0,0.36,0.36,5.66E-06,3.18851,4.8832,-0.9654,1,0
10,35,1,1,0,999,3,117.9,0.16,-0.161091,117.9,0.1,0.1,0,0,0.36,0.36,5.67E-06,3.18851,4.8832,-0.9654,1,0
11,36,1,1,0,999,3,117.9,0.16,-0.161091,117.9,0.1,0.1,0,0,0.36,0.36,5.70E-06,3.18851,4.8832,-0.9654,1,0
12,37,1,1,0,999,3,117.9,0.16,-0.161091,117.9,0.1,0.1,0,0,0.36,0.36,5.81E-06,3.18851,4.8832,-0.9654,1,0
13,38,1,1,0,999,3,117.9,0.16,-0.161091,117.9,0.1,0.1,0,0,0.36,0.36,5.61E-06,3.18851,4.8832,-0.9654,1,0
14,39,1,1,0,999,3,117.9,0.16,-0.161091,117.9,0.1,0.1,0,0,0.36,0.36,5.88E-06,3.18851,4.8832,-0.9654,1,0
15,40,1,1,0,999,3,117.9,0.16,-0.161091,117.9,0.1,0.1,0,0,0.36,0.36,5.77E-06,3.18851,4.8832,-0.9654,1,0
16,41,1,1,0,999,3,117.9,0.16,-0.161091,117.9,0.1,0.1,0,0,0.36,0.36,5.65E-06,3.18851,4.8832,-0.9654,1,0
17,42,1,1,0,999,3,117.9,0.16,-0.161091,117.9,0.1,0.1,0,0,0.36,0.36,5.84E-06,3.18851,4.8832,-0.9654,1,0
18,43,1,1,0,999,3,117.9,0.16,-0.161091,117.9,0.1,0.1,0,0,0.36,0.36,5.87E-06,3.18851,4.8832,-0.9654,1,0
19,44,1,1,0,999,3,117.9,0.16,-0.161091,117.9,0.1,0.1,0,0,0.36,0.36,5.64E-06,3.18851,4.8832,-0.9654,1,0
20,45,1,1,0,999,3,117.9,0.16,-0.161091,117.9,0.1,0.1,0,0,0.36,0.36,5.55E-06,3.18851,4.8832,-0.9654,1,0
21,46,1,1,0,999,3,117.9,0.16,-0.161091,117.9,0.1,0.1,0,0,0.36,0.36,5.49E-06,3.18851,4.8832,-0.9654,1,0
22,47,1,1,0,999,3,117.9,0.16,-0.161091,117.9,0.1,0.1,0,0,0.36,0.36,5.48E-06,3.18851,4.8832,-0.9654,1,0
23,48,1,1,0,999,3,117.9,0.16,-0.161091,117.9,0.1,0.1,0,0,0.36,0.36,5.79E-06,3.18851,4.8832,-0.9654,1,0
24,49,1,1,0,999,3,117.9,0.16,-0.161091,117.9,0.1,0.1,0,0,0.36,0.36,5.84E-06,3.18851,4.8832,-0.9654,1,0
